,Title,MRP,Price,Discount,Availability,Url
0,"Acer Aspire 5 Gaming Laptop Intel Core i5 12th gen (12-Cores) Processor (16 GB/512 GB SSD/Win11 Home/4GB Graphics/RTX 2050) A515-57G (15.6"" FHD Display, 1.8 Kg)","₹82,999","₹58,",29%,In stock,https://www.amazon.in/Acer-12-Cores-Processor-Graphics-A515-57G/dp/B0B5KTSVTG/ref=sr_1_1_sspa?crid=1K9G6WCXMN46S&keywords=gaming%2Blaptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
1,"HP Victus Gaming Laptop 11th Gen Intel Core i5-11400H 16.1 inch(40.9 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce GTX 1650 Graphics/Backlit KB/Win 11/B&O/Alexa/Xbox Pass),16-d0333TX","₹65,618","₹57,",12%,In stock,https://www.amazon.in/HP-i5-11400H-GeForce-Graphics-16-d0333TX/dp/B0C2Z6Y742/ref=sr_1_2_sspa?crid=1K9G6WCXMN46S&keywords=gaming+laptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
2,"HP Omen 16,AMD Ryzen 7 6800H,16.1 inch(40.9cm)QHD Gaming Laptop(16GB RAM/1TB SSD/NVIDIA GeForce RTX 3070ti Graphics/165Hz/3ms Response Time/Win 11/MSO 2021/4Zone Backlit KB/B&O/Alexa/XBOX),16-n0123AX","₹1,26,641","₹1,19,",5%,In stock,https://www.amazon.in/HP-GeForce-Graphics-Response-16-n0123AX/dp/B0C2D1P9F8/ref=sr_1_3?crid=1K9G6WCXMN46S&keywords=gaming+laptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-3
3,"ASUS TUF Gaming A15 (2022), 15.6""(39.62 cms) FHD 144Hz, AMD Ryzen 7 6800H, 4GB RTX 3050 Graphics, Gaming Laptop (16GB/512GB SSD/90WHrs Battery/Win 11/with Office/Jaeger Gray/2.2 kg), FA577RE-HN055WS","₹1,41,990","₹81,",42%,In stock,https://www.amazon.in/ASUS-RTX-3050-Graphics-Battery-FA577RE-HN055WS/dp/B0B56XY444/ref=sr_1_4?crid=1K9G6WCXMN46S&keywords=gaming+laptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-4
4,"ASUS TUF Gaming A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W","₹71,990","₹49,",31%,In stock,https://www.amazon.in/ASUS-15-6-inch-GeForce-Windows-FA506IHRZ-HN111W/dp/B0B5DZTNZQ/ref=sr_1_5?crid=1K9G6WCXMN46S&keywords=gaming+laptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-5
5,"HP Victus Gaming Laptop 11th Gen Intel Core i5-11400H 16.1 inch(40.9 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce GTX 1650 Graphics/Backlit KB/Win 11/B&O/Alexa/Xbox Pass),16-d0333TX","₹65,618","₹57,",12%,In stock,https://www.amazon.in/HP-i5-11400H-GeForce-Graphics-16-d0333TX/dp/B0C2Z6Y742/ref=sr_1_6?crid=1K9G6WCXMN46S&keywords=gaming+laptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-6
6,"Acer Aspire 5 Gaming Laptop Intel Core i5 12th gen (12-Cores) Processor (16 GB/512 GB SSD/Win11 Home/4GB Graphics/RTX 2050) A515-57G (15.6"" FHD Display, 1.8 Kg)","₹82,999","₹58,",29%,In stock,https://www.amazon.in/Acer-12-Cores-Processor-Graphics-A515-57G/dp/B0B5KTSVTG/ref=sr_1_7?crid=1K9G6WCXMN46S&keywords=gaming%2Blaptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-7&th=1
7,"Lenovo IdeaPad Gaming 3 AMD Ryzen 7 5800H 15.6"" (39.62cm) FHD IPS Gaming Laptop (16GB/512GB SSD/4GB NVIDIA RTX 3050/120Hz/Win 11/Office 2021/Backlit/3months Game Pass/Shadow Black/2.25Kg), 82K201UMIN","₹1,13,290","₹71,",37%,In stock,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Backlit-82K201UMIN/dp/B0B56DRGBC/ref=sr_1_8?crid=1K9G6WCXMN46S&keywords=gaming+laptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-8
8,"Lenovo Legion 5 AMD Ryzen 7 5800H 15.6"" (39.62cm) WQHD IPS Gaming Laptop (16GB/512GB SSD/6GB NVIDIA RTX 3060/165Hz/Windows 11/Office 2021/Blue Backlit/3months Game Pass/Stingray/2.4Kg), 82JU018YIN","₹1,81,890","₹1,04,",42%,Available to ship in 1-2 days,https://www.amazon.in/Lenovo-39-62cm-Windows-Stingray-82JU018YIN/dp/B09Y5VRMRH/ref=sr_1_9?crid=1K9G6WCXMN46S&keywords=gaming%2Blaptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-9&th=1
9,"HP Victus Gaming Latest AMD Ryzen 7 5800H, 16.1-inch(40.9 cm) FHD Gaming Laptop (8GB RAM/512GB SSD/144 Hz/GeForce RTX 3050 4GB Graphics/Backlit KB/Win 11/Xbox Game Pass(30 Days)/MSO 2021),16-e0305ax","₹92,395","₹67,",26%,In stock,https://www.amazon.in/HP-16-1-inch-GeForce-Graphics-16-e0305ax/dp/B0B2KGXYVX/ref=sr_1_10?crid=1K9G6WCXMN46S&keywords=gaming+laptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-10
10,"MSI Gaming GF63 Thin, Intel 11th Gen. i5-11400H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Nvidia GTX1650 4GB GDDR6/ Black/1.86Kg), 11SC-853IN","₹78,990","₹56,",28%,In stock,https://www.amazon.in/MSI-i5-11400H-Windows-GTX1650-11SC-853IN/dp/B09YYJ19YQ/ref=sr_1_11_sspa?crid=1K9G6WCXMN46S&keywords=gaming+laptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-11-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
11,"MSI Raider GE78HX, Intel 13th Gen. i9-13980HX, 43CM QHD+ 240Hz Gaming Laptop (32GB/2TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4080, 12GB GDDR6/Black/3.1Kg), 13VH-088IN","₹4,47,990","₹3,59,",20%,Only 1 left in stock,https://www.amazon.in/MSI-i9-13980HX-Windows-GeForce-13VH-088IN/dp/B0BTVVZM5D/ref=sr_1_12_sspa?crid=1K9G6WCXMN46S&keywords=gaming+laptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-12-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
12,"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 5600H 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop (8GB/512GB SSD/Win 11/NVIDIA GTX 1650 4GB/Alexa/3 Month Game Pass/Shadow Black/2.25Kg), 82K201YAIN","₹88,090","₹50,",42%,In stock,https://www.amazon.in/Lenovo-IdeaPad-Gaming-39-62cm-82K201YAIN/dp/B0B7VGDQHS/ref=sr_1_13?crid=1K9G6WCXMN46S&keywords=gaming+laptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-13
13,"ASUS TUF Gaming F15 (2022), 15.6"" (39.62 cms) FHD 144Hz, Intel Core i7-12700H 12th Gen, RTX 3050 Ti 4GB Graphics, Gaming Laptop (16GB/512GB SSD/90WHrs Battery/Windows 11/Gray/2.2 kg), FX577ZE-HN056W","₹1,44,990","₹94,",34%,Only 2 left in stock,https://www.amazon.in/ASUS-i7-12700H-RTX-3050-Ti-Graphics-FX577ZE-HN056W/dp/B09WBZS834/ref=sr_1_14?crid=1K9G6WCXMN46S&keywords=gaming+laptops&qid=1683552497&sprefix=%2Caps%2C187&sr=8-14
